"","SEQN","INDFMMPI","INDFMMPC","INQ300","IND310"
"3380",133757,1.51,2,2,1
"3381",133758,1.48,2,2,1
"3382",133759,NA,3,7,NA
"3383",133760,0.41,1,1,NA
"3384",133761,4.1,3,1,NA
"3385",133762,NA,3,1,NA
"3386",133763,1.93,3,2,1
"3387",133764,NA,NA,NA,NA
"3388",133765,2.22,3,1,NA
"3389",133766,0.91,1,2,1
"3390",133767,1.39,2,2,5
"3391",133768,2.73,3,1,NA
"3392",133769,1.66,2,7,NA
"3393",133770,0.37,1,2,1
"3394",133771,NA,NA,NA,NA
"3395",133772,NA,7,1,NA
"3396",133773,NA,NA,NA,NA
"3397",133774,5,3,1,NA
"3398",133775,3.16,3,2,1
"3399",133776,NA,NA,NA,NA
"3400",133777,0,1,2,1
"3401",133778,3.28,3,2,99
"3402",133779,3.83,3,1,NA
"3403",133780,3.14,3,2,3
"3404",133781,0.94,1,1,NA
"3405",133782,2.59,3,1,NA
"3406",133783,1.51,2,2,3
"3407",133784,NA,7,1,NA
"3408",133785,2.69,3,1,NA
"3409",133786,0.13,1,2,1
"3410",133787,NA,NA,NA,NA
"3411",133788,3.39,3,1,NA
"3412",133789,0.66,1,2,1
"3413",133790,1.9,3,1,NA
"3414",133791,1.55,2,2,5
"3415",133792,1.77,2,2,3
"3416",133793,0.73,1,2,1
"3417",133794,NA,3,1,NA
"3418",133795,5,3,2,2
"3419",133796,1.38,2,1,NA
"3420",133797,NA,NA,NA,NA
"3421",133798,4.59,3,1,NA
"3422",133799,NA,NA,NA,NA
"3423",133800,1.5,2,2,3
"3424",133801,NA,NA,NA,NA
"3425",133802,NA,NA,NA,NA
"3426",133803,2.13,3,2,1
"3427",133804,NA,1,2,1
"3428",133805,NA,NA,NA,NA
"3429",133806,5,3,1,NA
"3430",133807,2.61,3,2,4
"3431",133808,5,3,1,NA
"3432",133809,2.17,3,2,3
"3433",133810,3.86,3,1,NA
"3434",133811,0.9,1,2,1
"3435",133812,NA,9,2,1
"3436",133813,4.26,3,1,NA
"3437",133814,NA,3,1,NA
"3438",133815,NA,NA,NA,NA
"3439",133816,1.23,1,2,1
"3440",133817,NA,NA,NA,NA
"3441",133818,5,3,1,NA
"3442",133819,1.4,2,2,1
"3443",133820,5,3,1,NA
"3444",133821,NA,NA,NA,NA
"3445",133822,NA,NA,NA,NA
"3446",133823,2.13,3,1,NA
"3447",133824,5,3,1,NA
"3448",133825,1.3,1,2,1
"3449",133826,NA,9,1,NA
"3450",133827,2.43,3,1,NA
"3451",133828,2.61,3,2,1
"3452",133829,5,3,1,NA
"3453",133830,NA,2,2,1
"3454",133831,NA,3,1,NA
"3455",133832,0.81,1,2,1
"3456",133833,NA,3,1,NA
"3457",133834,NA,NA,NA,NA
"3458",133835,1.77,2,2,1
"3459",133836,3.47,3,1,NA
"3460",133837,0,1,2,5
"3461",133838,NA,NA,NA,NA
"3462",133839,5,3,1,NA
"3463",133840,0.7,1,2,1
"3464",133841,1.64,2,2,1
"3465",133842,3.13,3,2,1
"3466",133843,2.8,3,1,NA
"3467",133844,1.33,2,2,1
"3468",133845,1.64,2,2,1
"3469",133846,2.13,3,7,NA
"3470",133847,1.64,2,2,1
"3471",133848,5,3,2,3
"3472",133849,5,3,1,NA
"3473",133850,0.48,1,2,1
"3474",133851,2.08,3,2,3
"3475",133852,2.65,3,1,NA
"3476",133853,NA,2,2,1
"3477",133854,1.19,1,2,1
"3478",133855,2.34,3,2,1
"3479",133856,1.4,2,2,1
"3480",133857,2.65,3,2,1
"3481",133858,5,3,1,NA
"3482",133859,3.01,3,1,NA
"3483",133860,0.43,1,2,1
"3484",133861,5,3,1,NA
"3485",133862,1.63,2,1,NA
"3486",133863,NA,NA,NA,NA
"3487",133864,NA,9,1,NA
"3488",133865,1.94,3,2,1
"3489",133866,0.96,1,1,NA
"3490",133867,1.85,2,1,NA
"3491",133868,4.66,3,2,4
"3492",133869,NA,NA,NA,NA
"3493",133870,0.25,1,1,NA
"3494",133871,NA,NA,NA,NA
"3495",133872,0.51,1,2,1
"3496",133873,NA,NA,NA,NA
"3497",133874,0.92,1,2,1
"3498",133875,5,3,1,NA
"3499",133876,1.29,1,2,1
"3500",133877,0.41,1,2,5
"3501",133878,NA,3,1,NA
"3502",133879,NA,NA,NA,NA
"3503",133880,3.36,3,1,NA
"3504",133881,NA,NA,NA,NA
"3505",133882,1.51,2,2,1
"3506",133883,3.04,3,1,NA
"3507",133884,3.39,3,2,5
"3508",133885,1.64,2,2,2
"3509",133886,3.51,3,1,NA
"3510",133887,0.78,1,2,3
"3511",133888,4.11,3,1,NA
"3512",133889,NA,NA,NA,NA
"3513",133890,3.09,3,1,NA
"3514",133891,0.78,1,2,1
"3515",133892,1.64,2,2,1
"3516",133893,1.64,2,2,1
"3517",133894,NA,3,1,NA
"3518",133895,4,3,1,NA
"3519",133896,1.84,2,1,NA
"3520",133897,2.75,3,2,5
"3521",133898,3.91,3,2,1
"3522",133899,5,3,1,NA
"3523",133900,2.3,3,1,NA
"3524",133901,4.83,3,1,NA
"3525",133902,NA,NA,NA,NA
"3526",133903,3.86,3,2,1
"3527",133904,NA,NA,NA,NA
"3528",133905,1.83,2,1,NA
"3529",133906,2.65,3,2,1
"3530",133907,3.96,3,1,NA
"3531",133908,3.5,3,1,NA
"3532",133909,0,1,2,1
"3533",133910,NA,NA,NA,NA
"3534",133911,NA,9,9,NA
"3535",133912,2.69,3,2,1
"3536",133913,5,3,1,NA
"3537",133914,2.33,3,2,3
"3538",133915,2.42,3,2,1
"3539",133916,5,3,1,NA
"3540",133917,NA,9,9,NA
"3541",133918,NA,NA,NA,NA
"3542",133919,1.71,2,1,NA
"3543",133920,0.18,1,2,1
"3544",133921,1.93,3,2,2
"3545",133922,0.44,1,2,1
"3546",133923,0.86,1,2,1
"3547",133924,1.51,2,2,1
"3548",133925,NA,NA,NA,NA
"3549",133926,1.24,1,2,1
"3550",133927,NA,NA,NA,NA
"3551",133928,NA,1,2,1
"3552",133929,4.44,3,1,NA
"3553",133930,5,3,1,NA
"3554",133931,1.55,2,2,5
"3555",133932,2.73,3,1,NA
"3556",133933,2.21,3,2,3
"3557",133934,5,3,1,NA
"3558",133935,NA,NA,NA,NA
"3559",133936,NA,2,1,NA
"3560",133937,0,1,2,2
"3561",133938,0.35,1,2,1
"3562",133939,1.81,2,2,2
"3563",133940,NA,2,2,1
"3564",133941,4,3,1,NA
"3565",133942,0.77,1,2,1
"3566",133943,0.82,1,2,1
"3567",133944,1.1,1,2,1
"3568",133945,2.74,3,1,NA
"3569",133946,NA,3,7,NA
"3570",133947,0.67,1,2,1
"3571",133948,5,3,2,4
"3572",133949,NA,3,2,1
"3573",133950,0,1,2,1
"3574",133951,3.96,3,1,NA
"3575",133952,2.08,3,1,NA
"3576",133953,5,3,1,NA
"3577",133954,2.3,3,2,1
"3578",133955,1.58,2,1,NA
"3579",133956,4,3,1,NA
"3580",133957,3.96,3,1,NA
"3581",133958,5,3,1,NA
"3582",133959,5,3,1,NA
"3583",133960,NA,NA,NA,NA
"3584",133961,0.81,1,2,1
"3585",133962,5,3,1,NA
"3586",133963,1.82,2,2,4
"3587",133964,2.59,3,1,NA
"3588",133965,4.82,3,1,NA
"3589",133966,1.64,2,1,NA
"3590",133967,NA,7,7,NA
"3591",133968,NA,NA,NA,NA
"3592",133969,NA,1,2,3
"3593",133970,1.17,1,2,2
"3594",133971,4.17,3,1,NA
"3595",133972,1.28,1,2,1
"3596",133973,0.68,1,2,1
"3597",133974,3.93,3,2,5
"3598",133975,0.87,1,2,1
"3599",133976,0.95,1,2,1
"3600",133977,NA,3,2,1
"3601",133978,5,3,1,NA
"3602",133979,0.78,1,2,1
"3603",133980,3.55,3,1,NA
"3604",133981,NA,1,2,1
"3605",133982,4.2,3,1,NA
"3606",133983,NA,3,1,NA
"3607",133984,0.96,1,1,NA
"3608",133985,1.85,2,2,1
"3609",133986,5,3,1,NA
"3610",133987,NA,3,1,NA
"3611",133988,2.34,3,2,2
"3612",133989,1.74,2,2,1
"3613",133990,NA,7,7,NA
"3614",133991,NA,3,2,3
"3615",133992,NA,NA,NA,NA
"3616",133993,1.13,1,2,1
"3617",133994,3.73,3,1,NA
"3618",133995,2.06,3,2,4
"3619",133996,1.45,2,2,1
"3620",133997,2.73,3,1,NA
"3621",133998,2.8,3,1,NA
"3622",133999,3.01,3,1,NA
"3623",134000,NA,NA,NA,NA
"3624",134001,NA,NA,NA,NA
"3625",134002,5,3,1,NA
"3626",134003,0.92,1,2,1
"3627",134004,1.09,1,2,2
"3628",134005,1.58,2,2,1
"3629",134006,3.65,3,1,NA
"3630",134007,NA,1,9,NA
"3631",134008,NA,NA,NA,NA
"3632",134009,3.95,3,1,NA
"3633",134010,5,3,1,NA
"3634",134011,3.97,3,1,NA
"3635",134012,5,3,1,NA
"3636",134013,0,1,2,1
"3637",134014,2.32,3,2,1
"3638",134015,5,3,1,NA
"3639",134016,0.96,1,2,1
"3640",134017,NA,NA,NA,NA
"3641",134018,3.13,3,1,NA
"3642",134019,4.17,3,1,NA
"3643",134020,NA,NA,NA,NA
"3644",134021,1.41,2,2,1
"3645",134022,0.97,1,2,1
"3646",134023,4.86,3,1,NA
"3647",134024,5,3,1,NA
"3648",134025,3.29,3,2,1
"3649",134026,NA,NA,NA,NA
"3650",134027,2.14,3,2,1
"3651",134028,5,3,1,NA
"3652",134029,0.23,1,2,1
"3653",134030,4.13,3,2,1
"3654",134031,NA,NA,NA,NA
"3655",134032,1.77,2,2,1
"3656",134033,5,3,1,NA
"3657",134034,1.43,2,2,1
"3658",134035,0.96,1,1,NA
"3659",134036,3.27,3,2,5
"3660",134037,5,3,1,NA
"3661",134038,1.51,2,2,1
"3662",134039,5,3,1,NA
"3663",134040,5,3,1,NA
"3664",134041,NA,2,2,1
"3665",134042,1.95,3,1,NA
"3666",134043,4.62,3,2,4
"3667",134044,2.08,3,1,NA
"3668",134045,NA,3,1,NA
"3669",134046,5,3,1,NA
"3670",134047,5,3,1,NA
"3671",134048,4,3,1,NA
"3672",134049,5,3,1,NA
"3673",134050,3.91,3,1,NA
"3674",134051,5,3,1,NA
"3675",134052,4.59,3,1,NA
"3676",134053,4.2,3,1,NA
"3677",134054,NA,2,2,99
"3678",134055,NA,1,2,1
"3679",134056,3.91,3,1,NA
"3680",134057,1.97,3,2,77
"3681",134058,NA,1,2,1
"3682",134059,NA,1,2,1
"3683",134060,3.13,3,1,NA
"3684",134061,NA,NA,NA,NA
"3685",134062,4.12,3,1,NA
"3686",134063,2.9,3,1,NA
"3687",134064,2.21,3,1,NA
"3688",134065,NA,7,7,NA
"3689",134066,NA,NA,NA,NA
"3690",134067,0.68,1,2,1
"3691",134068,4.47,3,2,1
"3692",134069,5,3,2,3
"3693",134070,NA,NA,NA,NA
"3694",134071,0.81,1,2,1
"3695",134072,NA,NA,NA,NA
"3696",134073,1.74,2,2,1
"3697",134074,NA,3,9,NA
"3698",134075,1.33,2,2,1
"3699",134076,0.48,1,2,1
"3700",134077,1.36,2,2,1
"3701",134078,2.88,3,2,1
"3702",134079,4.26,3,1,NA
"3703",134080,1.12,1,2,1
"3704",134081,5,3,2,3
"3705",134082,NA,9,2,1
"3706",134083,NA,NA,NA,NA
"3707",134084,2.32,3,2,4
"3708",134085,1.12,1,2,3
"3709",134086,0.81,1,2,1
"3710",134087,5,3,1,NA
"3711",134088,NA,3,1,NA
"3712",134089,2.45,3,2,1
"3713",134090,3.97,3,1,NA
"3714",134091,1.62,2,1,NA
"3715",134092,NA,3,1,NA
"3716",134093,5,3,1,NA
"3717",134094,NA,3,7,NA
"3718",134095,2.75,3,1,NA
"3719",134096,1.41,2,2,1
"3720",134097,1.73,2,2,1
"3721",134098,NA,NA,NA,NA
"3722",134099,2.9,3,1,NA
"3723",134100,NA,9,1,NA
"3724",134101,0.96,1,1,NA
"3725",134102,5,3,1,NA
"3726",134103,2.65,3,2,1
"3727",134104,5,3,1,NA
"3728",134105,NA,2,9,NA
"3729",134106,NA,3,1,NA
"3730",134107,NA,NA,NA,NA
"3731",134108,NA,NA,NA,NA
"3732",134109,5,3,7,NA
"3733",134110,2.2,3,1,NA
"3734",134111,1.43,2,2,1
"3735",134112,0.66,1,2,1
"3736",134113,2.43,3,1,NA
"3737",134114,4.13,3,1,NA
"3738",134115,3.04,3,1,NA
"3739",134116,0.91,1,1,NA
"3740",134117,2.62,3,1,NA
"3741",134118,1.51,2,2,1
"3742",134119,1.1,1,2,1
"3743",134120,2.07,3,1,NA
"3744",134121,4.1,3,2,3
"3745",134122,0.24,1,2,1
"3746",134123,1.03,1,2,1
"3747",134124,0.85,1,2,1
"3748",134125,NA,NA,NA,NA
"3749",134126,3.93,3,2,2
"3750",134127,1.69,2,2,3
"3751",134128,NA,2,9,NA
"3752",134129,3.1,3,1,NA
"3753",134130,NA,1,2,1
"3754",134131,0.67,1,2,1
"3755",134132,3.2,3,1,NA
"3756",134133,2.62,3,2,3
"3757",134134,4,3,1,NA
"3758",134135,1.23,1,2,1
"3759",134136,NA,NA,NA,NA
"3760",134137,NA,NA,NA,NA
"3761",134138,NA,1,2,2
"3762",134139,4.03,3,1,NA
"3763",134140,0.78,1,2,1
"3764",134141,3.65,3,1,NA
"3765",134142,0.99,1,2,1
"3766",134143,NA,NA,NA,NA
"3767",134144,3.87,3,1,NA
"3768",134145,1.06,1,2,1
"3769",134146,1.34,2,1,NA
"3770",134147,5,3,1,NA
"3771",134148,1.31,2,2,1
"3772",134149,NA,3,1,NA
"3773",134150,3.7,3,1,NA
"3774",134151,2.62,3,2,77
"3775",134152,5,3,1,NA
"3776",134153,NA,NA,NA,NA
"3777",134154,0.9,1,2,1
"3778",134155,1.56,2,2,1
"3779",134156,NA,3,1,NA
"3780",134157,0.78,1,2,1
"3781",134158,3.6,3,2,1
"3782",134159,2.22,3,2,1
"3783",134160,1.29,1,2,2
"3784",134161,1.58,2,2,2
"3785",134162,NA,1,2,1
"3786",134163,2.28,3,2,1
"3787",134164,5,3,1,NA
"3788",134165,NA,3,1,NA
"3789",134166,5,3,2,1
"3790",134167,5,3,1,NA
"3791",134168,5,3,1,NA
"3792",134169,2.61,3,2,1
"3793",134170,0.86,1,2,1
"3794",134171,3.28,3,7,NA
"3795",134172,0.68,1,2,1
"3796",134173,3.2,3,2,2
"3797",134174,NA,3,1,NA
"3798",134175,0.78,1,2,3
"3799",134176,4.59,3,1,NA
"3800",134177,1.86,3,1,NA
"3801",134178,NA,1,9,NA
"3802",134179,4.42,3,1,NA
"3803",134180,5,3,1,NA
"3804",134181,NA,3,1,NA
"3805",134182,1.58,2,2,1
"3806",134183,2.74,3,1,NA
"3807",134184,NA,NA,NA,NA
"3808",134185,NA,3,1,NA
"3809",134186,1.67,2,2,2
"3810",134187,5,3,1,NA
"3811",134188,3.16,3,1,NA
"3812",134189,2.69,3,1,NA
"3813",134190,NA,NA,NA,NA
"3814",134191,1.97,3,2,77
"3815",134192,5,3,1,NA
"3816",134193,5,3,1,NA
"3817",134194,0,1,2,1
"3818",134195,NA,NA,NA,NA
"3819",134196,NA,3,1,NA
"3820",134197,2.92,3,1,NA
"3821",134198,5,3,1,NA
"3822",134199,2.17,3,2,3
"3823",134200,0.89,1,2,4
"3824",134201,2.48,3,2,3
"3825",134202,1.26,1,2,1
"3826",134203,5,3,1,NA
"3827",134204,2.59,3,1,NA
"3828",134205,NA,9,9,NA
"3829",134206,1.66,2,1,NA
"3830",134207,NA,NA,NA,NA
"3831",134208,1.71,2,2,3
"3832",134209,NA,NA,NA,NA
"3833",134210,1.45,2,2,3
"3834",134211,NA,3,1,NA
"3835",134212,NA,3,1,NA
"3836",134213,2.59,3,2,1
"3837",134214,NA,2,1,NA
"3838",134215,4.53,3,2,2
"3839",134216,0.65,1,1,NA
"3840",134217,1.16,1,2,1
"3841",134218,NA,1,1,NA
"3842",134219,NA,NA,NA,NA
"3843",134220,NA,NA,NA,NA
"3844",134221,1.89,3,2,2
"3845",134222,5,3,1,NA
"3846",134223,1.42,2,2,1
"3847",134224,1.64,2,2,1
"3848",134225,1.2,1,2,1
"3849",134226,2.73,3,2,1
"3850",134227,NA,3,1,NA
"3851",134228,NA,NA,NA,NA
"3852",134229,3.04,3,1,NA
"3853",134230,5,3,1,NA
"3854",134231,5,3,1,NA
"3855",134232,3.65,3,2,4
"3856",134233,2.9,3,1,NA
"3857",134234,0.84,1,2,1
"3858",134235,3.22,3,1,NA
"3859",134236,0.86,1,2,1
"3860",134237,NA,NA,NA,NA
"3861",134238,5,3,1,NA
"3862",134239,1.42,2,2,2
"3863",134240,2.76,3,1,NA
"3864",134241,1.52,2,2,1
"3865",134242,1.63,2,1,NA
"3866",134243,3.13,3,2,1
"3867",134244,3.17,3,2,5
"3868",134245,2.74,3,1,NA
"3869",134246,NA,NA,NA,NA
"3870",134247,1.09,1,1,NA
"3871",134248,NA,NA,NA,NA
"3872",134249,5,3,1,NA
"3873",134250,5,3,1,NA
"3874",134251,NA,9,2,1
"3875",134252,1.23,1,2,1
"3876",134253,2.39,3,2,2
"3877",134254,0.49,1,2,1
"3878",134255,3.65,3,1,NA
"3879",134256,NA,NA,NA,NA
"3880",134257,NA,9,2,99
"3881",134258,5,3,1,NA
"3882",134259,0.36,1,2,1
"3883",134260,2.23,3,1,NA
"3884",134261,NA,3,1,NA
"3885",134262,4.42,3,1,NA
"3886",134263,1.37,2,2,1
"3887",134264,1.04,1,2,1
"3888",134265,2.95,3,2,4
"3889",134266,NA,NA,NA,NA
"3890",134267,3.5,3,1,NA
"3891",134268,0.78,1,2,1
"3892",134269,0.41,1,2,1
"3893",134270,2.09,3,1,NA
"3894",134271,1.77,2,2,1
"3895",134272,NA,NA,NA,NA
"3896",134273,2.19,3,1,NA
"3897",134274,2.39,3,2,1
"3898",134275,1.03,1,2,1
"3899",134276,0.65,1,2,1
"3900",134277,2.47,3,2,2
"3901",134278,4.92,3,2,4
"3902",134279,3.86,3,2,5
"3903",134280,NA,3,1,NA
"3904",134281,2.98,3,1,NA
"3905",134282,3.28,3,1,NA
"3906",134283,1.95,3,2,1
"3907",134284,0.65,1,2,1
"3908",134285,1.26,1,2,2
"3909",134286,NA,1,2,1
"3910",134287,NA,NA,NA,NA
"3911",134288,5,3,1,NA
"3912",134289,NA,1,2,1
"3913",134290,NA,1,2,1
"3914",134291,0.68,1,2,1
"3915",134292,0.97,1,2,3
"3916",134293,3.36,3,1,NA
"3917",134294,5,3,1,NA
"3918",134295,2.08,3,2,3
"3919",134296,1.37,2,2,1
"3920",134297,1.93,3,2,1
"3921",134298,5,3,1,NA
"3922",134299,2.89,3,2,1
"3923",134300,2.43,3,2,1
"3924",134301,5,3,1,NA
"3925",134302,NA,NA,NA,NA
"3926",134303,NA,1,2,1
"3927",134304,NA,3,1,NA
"3928",134305,2.58,3,2,1
"3929",134306,0.26,1,2,1
"3930",134307,2.59,3,2,4
"3931",134308,2.9,3,1,NA
"3932",134309,2.95,3,2,1
"3933",134310,5,3,1,NA
"3934",134311,2.23,3,1,NA
"3935",134312,4.59,3,1,NA
"3936",134313,NA,NA,NA,NA
"3937",134314,NA,9,2,1
"3938",134315,1.05,1,2,3
"3939",134316,3.21,3,1,NA
"3940",134317,1.11,1,2,1
"3941",134318,3.28,3,2,99
"3942",134319,0.44,1,2,1
"3943",134320,1.34,2,1,NA
"3944",134321,0.81,1,2,1
"3945",134322,0.71,1,2,1
"3946",134323,3.31,3,1,NA
"3947",134324,1.05,1,2,1
"3948",134325,3.62,3,1,NA
"3949",134326,3.71,3,1,NA
"3950",134327,2.88,3,1,NA
"3951",134328,0.46,1,2,1
"3952",134329,NA,NA,NA,NA
"3953",134330,NA,2,2,1
"3954",134331,5,3,1,NA
"3955",134332,NA,NA,NA,NA
"3956",134333,NA,1,2,2
"3957",134334,2.9,3,2,5
"3958",134335,3.46,3,2,1
"3959",134336,NA,NA,NA,NA
"3960",134337,1.52,2,2,1
"3961",134338,5,3,1,NA
"3962",134339,2.56,3,2,3
"3963",134340,0.89,1,2,1
"3964",134341,NA,NA,NA,NA
"3965",134342,0.98,1,2,1
"3966",134343,5,3,1,NA
"3967",134344,5,3,7,NA
"3968",134345,NA,3,1,NA
"3969",134346,0.3,1,2,1
"3970",134347,1.71,2,2,1
"3971",134348,0.88,1,1,NA
"3972",134349,NA,NA,NA,NA
"3973",134350,5,3,1,NA
"3974",134351,5,3,1,NA
"3975",134352,0.83,1,2,1
"3976",134353,5,3,1,NA
"3977",134354,3.09,3,1,NA
"3978",134355,NA,2,1,NA
"3979",134356,5,3,1,NA
"3980",134357,5,3,1,NA
"3981",134358,NA,NA,NA,NA
"3982",134359,NA,NA,NA,NA
"3983",134360,2.14,3,2,1
"3984",134361,1.64,2,2,3
"3985",134362,1.31,2,2,1
"3986",134363,NA,3,2,1
"3987",134364,NA,9,2,99
"3988",134365,5,3,1,NA
"3989",134366,1.06,1,2,1
"3990",134367,5,3,1,NA
"3991",134368,5,3,1,NA
"3992",134369,3.93,3,1,NA
"3993",134370,0.86,1,2,1
"3994",134371,2.8,3,2,2
"3995",134372,4.1,3,2,1
"3996",134373,5,3,1,NA
"3997",134374,NA,NA,NA,NA
"3998",134375,0.49,1,2,1
"3999",134376,5,3,1,NA
"4000",134377,NA,9,1,NA
"4001",134378,2.62,3,2,1
"4002",134379,0.55,1,2,1
"4003",134380,1.24,1,2,1
"4004",134381,3.53,3,1,NA
"4005",134382,5,3,1,NA
"4006",134383,2.62,3,1,NA
"4007",134384,1.18,1,9,NA
"4008",134385,2.59,3,1,NA
"4009",134386,1.73,2,2,4
"4010",134387,3.29,3,2,1
"4011",134388,1.22,1,1,NA
"4012",134389,3.87,3,1,NA
"4013",134390,2.19,3,2,1
"4014",134391,1.37,2,2,1
"4015",134392,1.49,2,2,1
"4016",134393,2.45,3,2,1
"4017",134394,0.63,1,2,1
"4018",134395,NA,3,1,NA
"4019",134396,2.39,3,7,NA
"4020",134397,2.73,3,1,NA
"4021",134398,2.62,3,1,NA
"4022",134399,NA,NA,NA,NA
"4023",134400,2.95,3,2,3
"4024",134401,NA,3,1,NA
"4025",134402,4,3,2,2
"4026",134403,3.72,3,1,NA
"4027",134404,5,3,1,NA
"4028",134405,5,3,1,NA
"4029",134406,1.42,2,2,1
"4030",134407,1.86,3,2,1
"4031",134408,1.97,3,1,NA
"4032",134409,5,3,1,NA
"4033",134410,5,3,2,5
"4034",134411,1.97,3,1,NA
"4035",134412,2.69,3,2,1
"4036",134413,4.32,3,2,4
"4037",134414,2.88,3,1,NA
"4038",134415,0.6,1,2,1
"4039",134416,3.8,3,2,3
"4040",134417,NA,NA,NA,NA
"4041",134418,1.93,3,1,NA
"4042",134419,NA,3,2,3
"4043",134420,NA,3,1,NA
"4044",134421,1.51,2,2,1
"4045",134422,NA,NA,NA,NA
"4046",134423,5,3,2,3
"4047",134424,NA,NA,NA,NA
"4048",134425,5,3,1,NA
"4049",134426,NA,NA,NA,NA
"4050",134427,NA,3,1,NA
"4051",134428,5,3,1,NA
"4052",134429,1.31,2,2,4
"4053",134430,5,3,2,2
"4054",134431,0.86,1,2,1
"4055",134432,1.85,2,2,3
"4056",134433,NA,NA,NA,NA
"4057",134434,NA,3,1,NA
"4058",134435,0.7,1,2,1
"4059",134436,NA,3,1,NA
"4060",134437,5,3,1,NA
"4061",134438,NA,3,1,NA
"4062",134439,NA,NA,NA,NA
"4063",134440,0.86,1,2,1
"4064",134441,4,3,1,NA
"4065",134442,0.39,1,2,3
"4066",134443,2.08,3,1,NA
"4067",134444,1.32,2,2,1
"4068",134445,NA,NA,NA,NA
"4069",134446,NA,NA,NA,NA
"4070",134447,NA,3,1,NA
"4071",134448,5,3,1,NA
"4072",134449,0.91,1,2,1
"4073",134450,3.54,3,1,NA
"4074",134451,5,3,1,NA
"4075",134452,4.42,3,2,1
"4076",134453,3.15,3,1,NA
"4077",134454,1.1,1,1,NA
"4078",134455,3.65,3,1,NA
"4079",134456,1.82,2,2,3
"4080",134457,1.94,3,2,1
"4081",134458,2.14,3,1,NA
"4082",134459,1.38,2,1,NA
"4083",134460,5,3,1,NA
"4084",134461,1.66,2,1,NA
"4085",134462,0.75,1,2,1
"4086",134463,3.7,3,1,NA
"4087",134464,0.62,1,1,NA
"4088",134465,5,3,1,NA
"4089",134466,2.08,3,2,1
"4090",134467,5,3,1,NA
"4091",134468,3.03,3,1,NA
"4092",134469,1.88,3,2,1
"4093",134470,2.02,3,7,NA
"4094",134471,NA,1,2,1
"4095",134472,4.68,3,2,2
"4096",134473,0.48,1,2,3
"4097",134474,4.59,3,2,1
"4098",134475,3.65,3,2,4
"4099",134476,0.91,1,2,1
"4100",134477,NA,3,1,NA
"4101",134478,NA,NA,NA,NA
"4102",134479,NA,7,2,1
"4103",134480,NA,NA,NA,NA
"4104",134481,0.86,1,2,1
"4105",134482,NA,NA,NA,NA
"4106",134483,NA,1,2,99
"4107",134484,NA,1,2,1
"4108",134485,0.36,1,2,1
"4109",134486,5,3,1,NA
"4110",134487,NA,NA,NA,NA
"4111",134488,NA,NA,NA,NA
"4112",134489,2.47,3,1,NA
"4113",134490,4.69,3,1,NA
"4114",134491,NA,3,2,4
"4115",134492,NA,NA,NA,NA
"4116",134493,0.13,1,2,2
"4117",134494,NA,2,2,1
"4118",134495,4.66,3,1,NA
"4119",134496,NA,NA,NA,NA
"4120",134497,5,3,1,NA
"4121",134498,0.64,1,9,NA
"4122",134499,1.11,1,2,4
"4123",134500,1.32,2,2,1
"4124",134501,2.97,3,1,NA
"4125",134502,NA,3,1,NA
"4126",134503,NA,NA,NA,NA
"4127",134504,0.82,1,2,4
"4128",134505,0.42,1,2,1
"4129",134506,0.56,1,2,1
"4130",134507,5,3,1,NA
"4131",134508,0,1,2,1
"4132",134509,NA,NA,NA,NA
"4133",134510,0.52,1,2,1
"4134",134511,5,3,2,1
"4135",134512,1.73,2,1,NA
"4136",134513,0.67,1,2,1
"4137",134514,0.91,1,2,1
"4138",134515,1.26,1,2,1
"4139",134516,NA,NA,NA,NA
"4140",134517,2.11,3,1,NA
"4141",134518,2.05,3,1,NA
"4142",134519,3.65,3,2,4
"4143",134520,1.04,1,2,1
"4144",134521,2.51,3,2,2
"4145",134522,NA,NA,NA,NA
"4146",134523,NA,NA,NA,NA
"4147",134524,1.38,2,1,NA
"4148",134525,1.6,2,2,1
"4149",134526,0,1,2,1
"4150",134527,3.53,3,2,1
"4151",134528,1.62,2,2,1
"4152",134529,1.29,1,2,1
"4153",134530,1.85,2,1,NA
"4154",134531,3.13,3,2,1
"4155",134532,NA,3,1,NA
"4156",134533,0,1,2,1
"4157",134534,0.65,1,2,1
"4158",134535,3.46,3,2,3
"4159",134536,2.59,3,7,NA
"4160",134537,2.08,3,2,3
"4161",134538,NA,NA,NA,NA
"4162",134539,NA,NA,NA,NA
"4163",134540,1.04,1,2,1
"4164",134541,1.52,2,2,1
"4165",134542,NA,NA,NA,NA
"4166",134543,0.82,1,2,1
"4167",134544,NA,7,7,NA
"4168",134545,2.74,3,2,1
"4169",134546,0.9,1,2,1
"4170",134547,NA,NA,NA,NA
"4171",134548,1.2,1,2,3
"4172",134549,NA,NA,NA,NA
"4173",134550,3.53,3,1,NA
"4174",134551,3.65,3,1,NA
"4175",134552,NA,NA,NA,NA
"4176",134553,5,3,2,2
"4177",134554,5,3,1,NA
"4178",134555,NA,NA,NA,NA
"4179",134556,2.6,3,2,1
"4180",134557,1.01,1,2,1
"4181",134558,1.44,2,2,1
"4182",134559,5,3,1,NA
"4183",134560,1.94,3,1,NA
"4184",134561,NA,9,2,1
"4185",134562,1.5,2,1,NA
"4186",134563,0.74,1,2,1
"4187",134564,NA,3,2,4
"4188",134565,0.86,1,2,1
