"","SEQN","INDFMMPI","INDFMMPC","INQ300","IND310"
"809",131186,NA,NA,NA,NA
"810",131187,1.95,3,2,1
"811",131188,1.77,2,2,1
"812",131189,1.37,2,2,1
"813",131190,NA,NA,NA,NA
"814",131191,3.93,3,2,2
"815",131192,0,1,2,1
"816",131193,3.16,3,1,NA
"817",131194,3.54,3,2,2
"818",131195,0.04,1,2,1
"819",131196,0.82,1,2,1
"820",131197,NA,NA,NA,NA
"821",131198,NA,1,2,1
"822",131199,3.39,3,2,1
"823",131200,1.22,1,1,NA
"824",131201,NA,3,1,NA
"825",131202,5,3,1,NA
"826",131203,3.28,3,1,NA
"827",131204,1.25,1,1,NA
"828",131205,2.36,3,2,5
"829",131206,0.77,1,2,1
"830",131207,5,3,1,NA
"831",131208,3.79,3,2,1
"832",131209,NA,3,2,1
"833",131210,5,3,1,NA
"834",131211,2.9,3,1,NA
"835",131212,NA,NA,NA,NA
"836",131213,0.92,1,2,1
"837",131214,0.15,1,2,1
"838",131215,NA,9,9,NA
"839",131216,1.48,2,2,2
"840",131217,NA,NA,NA,NA
"841",131218,4.87,3,1,NA
"842",131219,NA,1,7,NA
"843",131220,2.63,3,2,2
"844",131221,2.59,3,1,NA
"845",131222,1.96,3,2,1
"846",131223,4.69,3,1,NA
"847",131224,NA,NA,NA,NA
"848",131225,NA,1,2,1
"849",131226,1.15,1,2,2
"850",131227,5,3,1,NA
"851",131228,5,3,1,NA
"852",131229,3.15,3,1,NA
"853",131230,2.65,3,2,3
"854",131231,0.55,1,2,1
"855",131232,NA,NA,NA,NA
"856",131233,0.64,1,9,NA
"857",131234,3.95,3,1,NA
"858",131235,NA,NA,NA,NA
"859",131236,5,3,1,NA
"860",131237,0.92,1,2,1
"861",131238,2.8,3,2,2
"862",131239,2.47,3,1,NA
"863",131240,2.88,3,1,NA
"864",131241,5,3,1,NA
"865",131242,1.64,2,2,1
"866",131243,NA,1,2,1
"867",131244,NA,NA,NA,NA
"868",131245,1.23,1,2,1
"869",131246,NA,9,2,99
"870",131247,5,3,7,NA
"871",131248,1.86,3,2,1
"872",131249,5,3,1,NA
"873",131250,1.18,1,2,1
"874",131251,2.56,3,2,3
"875",131252,0.68,1,2,3
"876",131253,NA,3,1,NA
"877",131254,3.67,3,2,1
"878",131255,NA,NA,NA,NA
"879",131256,NA,NA,NA,NA
"880",131257,NA,NA,NA,NA
"881",131258,1.12,1,2,1
"882",131259,2.96,3,1,NA
"883",131260,0.53,1,2,1
"884",131261,0.36,1,2,1
"885",131262,3.89,3,2,1
"886",131263,1.56,2,1,NA
"887",131264,2.47,3,2,1
"888",131265,1.82,2,1,NA
"889",131266,NA,3,1,NA
"890",131267,NA,1,2,1
"891",131268,0.68,1,2,1
"892",131269,3.09,3,2,4
"893",131270,1.41,2,2,1
"894",131271,3.44,3,1,NA
"895",131272,NA,1,2,1
"896",131273,5,3,1,NA
"897",131274,2.86,3,1,NA
"898",131275,5,3,1,NA
"899",131276,2.56,3,2,2
"900",131277,NA,NA,NA,NA
"901",131278,1.29,1,2,2
"902",131279,NA,NA,NA,NA
"903",131280,5,3,1,NA
"904",131281,NA,NA,NA,NA
"905",131282,2.74,3,2,2
"906",131283,5,3,1,NA
"907",131284,NA,9,1,NA
"908",131285,2.12,3,1,NA
"909",131286,2.38,3,2,5
"910",131287,3.17,3,2,5
"911",131288,NA,NA,NA,NA
"912",131289,3.5,3,1,NA
"913",131290,NA,NA,NA,NA
"914",131291,3.04,3,1,NA
"915",131292,0.74,1,2,1
"916",131293,1.57,2,2,1
"917",131294,NA,3,7,NA
"918",131295,2.34,3,2,2
"919",131296,NA,NA,NA,NA
"920",131297,0.54,1,2,4
"921",131298,2.75,3,2,1
"922",131299,1.9,3,2,1
"923",131300,2.17,3,1,NA
"924",131301,2.47,3,2,2
"925",131302,1.97,3,2,2
"926",131303,2.17,3,1,NA
"927",131304,0.71,1,2,1
"928",131305,4,3,1,NA
"929",131306,1.43,2,2,1
"930",131307,4.56,3,1,NA
"931",131308,4.86,3,1,NA
"932",131309,0.82,1,2,1
"933",131310,NA,3,1,NA
"934",131311,5,3,1,NA
"935",131312,1.76,2,2,1
"936",131313,NA,NA,NA,NA
"937",131314,4.8,3,1,NA
"938",131315,3.28,3,1,NA
"939",131316,NA,NA,NA,NA
"940",131317,1.21,1,2,1
"941",131318,NA,2,2,1
"942",131319,5,3,1,NA
"943",131320,2.8,3,7,NA
"944",131321,0.34,1,2,1
"945",131322,1.52,2,2,1
"946",131323,2.61,3,1,NA
"947",131324,1.31,2,2,4
"948",131325,1.71,2,1,NA
"949",131326,5,3,1,NA
"950",131327,1.05,1,2,1
"951",131328,4.69,3,1,NA
"952",131329,0.86,1,2,1
"953",131330,3.04,3,1,NA
"954",131331,2.41,3,1,NA
"955",131332,5,3,1,NA
"956",131333,3.93,3,2,2
"957",131334,3.7,3,1,NA
"958",131335,0,1,2,1
"959",131336,1.71,2,2,1
"960",131337,NA,NA,NA,NA
"961",131338,1.71,2,1,NA
"962",131339,0.78,1,2,1
"963",131340,NA,2,2,1
"964",131341,1.61,2,2,1
"965",131342,3.96,3,1,NA
"966",131343,NA,2,2,1
"967",131344,NA,NA,NA,NA
"968",131345,1.61,2,2,1
"969",131346,5,3,2,4
"970",131347,3.17,3,2,1
"971",131348,1.59,2,2,1
"972",131349,5,3,1,NA
"973",131350,3.41,3,2,5
"974",131351,2.49,3,1,NA
"975",131352,3.91,3,1,NA
"976",131353,3.28,3,2,1
"977",131354,1.97,3,2,1
"978",131355,NA,2,2,1
"979",131356,NA,NA,NA,NA
"980",131357,NA,3,1,NA
"981",131358,0.96,1,2,1
"982",131359,NA,3,1,NA
"983",131360,0.68,1,2,1
"984",131361,1.61,2,1,NA
"985",131362,1.63,2,1,NA
"986",131363,5,3,1,NA
"987",131364,3.2,3,1,NA
"988",131365,2.08,3,2,2
"989",131366,NA,3,2,1
"990",131367,NA,NA,NA,NA
"991",131368,4.87,3,1,NA
"992",131369,1.77,2,2,99
"993",131370,NA,3,9,NA
"994",131371,4.17,3,1,NA
"995",131372,NA,9,2,4
"996",131373,4.87,3,1,NA
"997",131374,3.65,3,1,NA
"998",131375,2.74,3,2,2
"999",131376,2.4,3,1,NA
"1000",131377,NA,3,2,1
"1001",131378,1.31,2,2,4
"1002",131379,NA,2,7,NA
"1003",131380,0.89,1,2,1
"1004",131381,3.41,3,2,1
"1005",131382,0.46,1,2,1
"1006",131383,2.43,3,1,NA
"1007",131384,5,3,1,NA
"1008",131385,NA,NA,NA,NA
"1009",131386,5,3,1,NA
"1010",131387,5,3,1,NA
"1011",131388,1.13,1,2,1
"1012",131389,3.97,3,1,NA
"1013",131390,NA,1,2,1
"1014",131391,3.93,3,2,1
"1015",131392,NA,3,1,NA
"1016",131393,0.26,1,2,1
"1017",131394,1.07,1,2,3
"1018",131395,5,3,7,NA
"1019",131396,1.49,2,2,1
"1020",131397,5,3,1,NA
"1021",131398,NA,NA,NA,NA
"1022",131399,4.1,3,1,NA
"1023",131400,1.31,2,2,2
"1024",131401,NA,NA,NA,NA
"1025",131402,1.49,2,2,1
"1026",131403,5,3,1,NA
"1027",131404,NA,NA,NA,NA
"1028",131405,2.36,3,2,5
"1029",131406,4.26,3,2,1
"1030",131407,NA,NA,NA,NA
"1031",131408,3.17,3,1,NA
"1032",131409,2.16,3,2,2
"1033",131410,3.28,3,2,4
"1034",131411,3.44,3,1,NA
"1035",131412,0.72,1,2,1
"1036",131413,NA,NA,NA,NA
"1037",131414,4,3,1,NA
"1038",131415,0.27,1,2,1
"1039",131416,0,1,1,NA
"1040",131417,NA,NA,NA,NA
"1041",131418,4.07,3,1,NA
"1042",131419,2.42,3,2,1
"1043",131420,NA,3,1,NA
"1044",131421,NA,3,1,NA
"1045",131422,1.35,2,2,4
"1046",131423,2.62,3,2,77
"1047",131424,NA,3,2,1
"1048",131425,1.36,2,2,3
"1049",131426,NA,1,2,2
"1050",131427,4.12,3,1,NA
"1051",131428,5,3,1,NA
"1052",131429,1.49,2,2,3
"1053",131430,NA,NA,NA,NA
"1054",131431,3.2,3,1,NA
"1055",131432,NA,7,7,NA
"1056",131433,4.12,3,1,NA
"1057",131434,5,3,1,NA
"1058",131435,3.2,3,1,NA
"1059",131436,5,3,1,NA
"1060",131437,NA,NA,NA,NA
"1061",131438,5,3,1,NA
"1062",131439,1.11,1,1,NA
"1063",131440,5,3,1,NA
"1064",131441,NA,9,2,1
"1065",131442,2.34,3,7,NA
"1066",131443,0.6,1,2,1
"1067",131444,0.82,1,2,4
"1068",131445,0.48,1,2,1
"1069",131446,NA,NA,NA,NA
"1070",131447,4.94,3,1,NA
"1071",131448,NA,3,1,NA
"1072",131449,2.77,3,7,NA
"1073",131450,2.65,3,1,NA
"1074",131451,NA,9,1,NA
"1075",131452,NA,2,2,1
"1076",131453,1.72,2,2,4
"1077",131454,0.81,1,2,1
"1078",131455,NA,9,2,1
"1079",131456,4.53,3,1,NA
"1080",131457,NA,7,1,NA
"1081",131458,5,3,1,NA
"1082",131459,5,3,1,NA
"1083",131460,NA,3,2,1
"1084",131461,1.43,2,2,1
"1085",131462,0.82,1,2,1
"1086",131463,1.8,2,2,4
"1087",131464,NA,3,1,NA
"1088",131465,3.62,3,1,NA
"1089",131466,2.71,3,2,2
"1090",131467,3.07,3,1,NA
"1091",131468,5,3,2,3
"1092",131469,4.12,3,2,3
"1093",131470,1.56,2,2,4
"1094",131471,0.59,1,2,1
"1095",131472,3.6,3,1,NA
"1096",131473,NA,NA,NA,NA
"1097",131474,0.64,1,2,4
"1098",131475,3.17,3,1,NA
"1099",131476,2.94,3,2,1
